FIPS,State,District,Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons",SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Census Region,Census Division,FNS Region
1227,FL,"Congressional District 27, Florida",2020,9.1%,"68,410",21%,13%,6%,200%,80%,20%,11.3%,"15,190",88%,12%,South,South Atlantic,Southeast
1227,FL,"Congressional District 27, Florida",2021,10.6%,"77,420",20%,10%,7%,200%,59%,41%,9.5%,"12,920",69%,31%,South,South Atlantic,Southeast
1227,FL,"Congressional District 27 (118th Congress), Florida",2022,13.6%,"103,000",25%,16%,9%,200%,53%,47%,13.1%,"17,150",56%,44%,South,South Atlantic,Southeast
1227,FL,"Congressional District 27 (118th Congress), Florida",2023,15.6%,"116,520",28%,17%,10%,200%,62%,38%,13.0%,"17,270",60%,40%,South,South Atlantic,Southeast
1228,FL,"Congressional District 28 (118th Congress), Florida",2022,12.7%,"93,960",25%,15%,10%,200%,57%,43%,14.5%,"21,680",62%,38%,South,South Atlantic,Southeast
1228,FL,"Congressional District 28 (118th Congress), Florida",2023,13.1%,"100,000",27%,16%,11%,200%,68%,32%,12.2%,"19,060",73%,27%,South,South Atlantic,Southeast
1301,GA,"Congressional District 1 (116th Congress), Georgia",2019,13.8%,"103,590",20%,16%,11%,130%,46%,54%,17.8%,"31,020",67%,33%,South,South Atlantic,Southeast
1301,GA,"Congressional District 1, Georgia",2020,12.7%,"94,840",20%,17%,9%,130%,49%,51%,17.6%,"30,660",78%,22%,South,South Atlantic,Southeast
1301,GA,"Congressional District 1, Georgia",2021,12.5%,"95,980",19%,15%,8%,130%,39%,61%,16.2%,"28,780",68%,32%,South,South Atlantic,Southeast
1301,GA,"Congressional District 1 (118th Congress), Georgia",2022,14.6%,"115,180",23%,21%,11%,130%,35%,65%,20.3%,"36,900",74%,26%,South,South Atlantic,Southeast
1301,GA,"Congressional District 1 (118th Congress), Georgia",2023,16.6%,"132,510",26%,22%,12%,130%,47%,53%,22.5%,"41,360",76%,24%,South,South Atlantic,Southeast
1302,GA,"Congressional District 2 (116th Congress), Georgia",2019,18.8%,"126,590",25%,17%,12%,130%,61%,39%,30.0%,"46,920",68%,32%,South,South Atlantic,Southeast
1302,GA,"Congressional District 2, Georgia",2020,16.6%,"110,500",24%,19%,10%,130%,61%,39%,27.8%,"43,380",75%,25%,South,South Atlantic,Southeast
1302,GA,"Congressional District 2, Georgia",2021,14.2%,"95,510",23%,16%,10%,130%,46%,54%,23.7%,"37,410",72%,29%,South,South Atlantic,Southeast
1302,GA,"Congressional District 2 (118th Congress), Georgia",2022,17.6%,"133,230",27%,22%,12%,130%,43%,57%,31.6%,"56,250",79%,21%,South,South Atlantic,Southeast
1302,GA,"Congressional District 2 (118th Congress), Georgia",2023,19.9%,"150,510",30%,23%,13%,130%,52%,48%,32.8%,"57,970",79%,21%,South,South Atlantic,Southeast
1303,GA,"Congressional District 3 (116th Congress), Georgia",2019,12.1%,"91,020",18%,14%,9%,130%,39%,61%,14.4%,"25,520",66%,34%,South,South Atlantic,Southeast
1303,GA,"Congressional District 3, Georgia",2020,10.5%,"78,120",18%,15%,7%,130%,44%,56%,12.3%,"21,930",78%,22%,South,South Atlantic,Southeast
1303,GA,"Congressional District 3, Georgia",2021,10.7%,"83,000",17%,12%,7%,130%,35%,65%,11.9%,"21,500",65%,35%,South,South Atlantic,Southeast
1303,GA,"Congressional District 3 (118th Congress), Georgia",2022,13.4%,"105,360",21%,19%,10%,130%,32%,69%,17.6%,"31,530",69%,32%,South,South Atlantic,Southeast
1303,GA,"Congressional District 3 (118th Congress), Georgia",2023,14.4%,"114,270",24%,20%,11%,130%,41%,59%,17.6%,"31,910",63%,37%,South,South Atlantic,Southeast
1304,GA,"Congressional District 4 (116th Congress), Georgia",2019,9.4%,"73,570",15%,14%,9%,130%,54%,46%,17.0%,"32,560",63%,37%,South,South Atlantic,Southeast
1304,GA,"Congressional District 4, Georgia",2020,9.8%,"74,260",16%,15%,7%,130%,56%,44%,20.1%,"37,600",70%,30%,South,South Atlantic,Southeast
1304,GA,"Congressional District 4, Georgia",2021,8.9%,"69,300",14%,12%,7%,130%,39%,61%,18.7%,"34,340",64%,36%,South,South Atlantic,Southeast
1304,GA,"Congressional District 4 (118th Congress), Georgia",2022,12.0%,"93,790",19%,20%,8%,130%,32%,68%,23.8%,"43,080",65%,35%,South,South Atlantic,Southeast
1304,GA,"Congressional District 4 (118th Congress), Georgia",2023,14.1%,"108,080",22%,21%,10%,130%,40%,60%,22.1%,"39,210",70%,30%,South,South Atlantic,Southeast
1305,GA,"Congressional District 5 (116th Congress), Georgia",2019,13.9%,"109,370",22%,13%,8%,130%,51%,49%,21.6%,"33,900",54%,46%,South,South Atlantic,Southeast
1305,GA,"Congressional District 5, Georgia",2020,12.7%,"99,150",22%,14%,7%,130%,57%,43%,22.6%,"36,060",72%,28%,South,South Atlantic,Southeast
1305,GA,"Congressional District 5, Georgia",2021,11.5%,"90,450",21%,12%,7%,130%,39%,61%,18.6%,"29,470",65%,35%,South,South Atlantic,Southeast
1305,GA,"Congressional District 5 (118th Congress), Georgia",2022,13.8%,"105,000",26%,19%,8%,130%,35%,65%,23.8%,"33,880",68%,32%,South,South Atlantic,Southeast
1305,GA,"Congressional District 5 (118th Congress), Georgia",2023,16.4%,"126,710",28%,20%,9%,130%,42%,58%,23.6%,"34,250",65%,35%,South,South Atlantic,Southeast
1306,GA,"Congressional District 6 (116th Congress), Georgia",2019,9.0%,"67,160",14%,13%,5%,130%,29%,71%,4.7%,"7,950",100%,0%,South,South Atlantic,Southeast
1306,GA,"Congressional District 6, Georgia",2020,7.2%,"54,850",17%,14%,3%,130%,33%,67%,2.8%,"5,140",100%,0%,South,South Atlantic,Southeast
1306,GA,"Congressional District 6, Georgia",2021,7.7%,"58,460",16%,11%,3%,130%,25%,76%,2.4%,"4,250",100%,0%,South,South Atlantic,Southeast
1306,GA,"Congressional District 6 (118th Congress), Georgia",2022,9.6%,"75,680",18%,15%,6%,130%,16%,84%,4.2%,"7,840",59%,41%,South,South Atlantic,Southeast
1306,GA,"Congressional District 6 (118th Congress), Georgia",2023,10.6%,"84,250",21%,16%,7%,130%,25%,75%,6.1%,"11,690",55%,45%,South,South Atlantic,Southeast
1307,GA,"Congressional District 7 (116th Congress), Georgia",2019,7.7%,"65,110",13%,12%,6%,130%,36%,64%,7.1%,"16,020",100%,0%,South,South Atlantic,Southeast
1307,GA,"Congressional District 7, Georgia",2020,7.1%,"59,170",14%,14%,4%,130%,42%,58%,6.4%,"14,450",100%,0%,South,South Atlantic,Southeast
1307,GA,"Congressional District 7, Georgia",2021,8.1%,"69,710",13%,11%,4%,130%,30%,70%,7.4%,"16,160",80%,20%,South,South Atlantic,Southeast
1307,GA,"Congressional District 7 (118th Congress), Georgia",2022,11.0%,"85,190",17%,17%,7%,130%,27%,73%,14.6%,"29,170",67%,33%,South,South Atlantic,Southeast
1307,GA,"Congressional District 7 (118th Congress), Georgia",2023,13.3%,"103,390",20%,20%,9%,130%,41%,59%,15.8%,"31,070",70%,30%,South,South Atlantic,Southeast
1308,GA,"Congressional District 8 (116th Congress), Georgia",2019,14.3%,"100,870",22%,18%,11%,130%,51%,49%,18.3%,"30,100",74%,26%,South,South Atlantic,Southeast
1308,GA,"Congressional District 8, Georgia",2020,13.0%,"91,980",21%,19%,8%,130%,53%,48%,17.0%,"28,520",77%,23%,South,South Atlantic,Southeast
1308,GA,"Congressional District 8, Georgia",2021,13.4%,"96,160",20%,16%,8%,130%,43%,57%,17.9%,"30,640",72%,28%,South,South Atlantic,Southeast
1308,GA,"Congressional District 8 (118th Congress), Georgia",2022,15.2%,"116,710",24%,23%,11%,130%,39%,61%,21.4%,"38,200",76%,24%,South,South Atlantic,Southeast
1308,GA,"Congressional District 8 (118th Congress), Georgia",2023,17.2%,"133,920",27%,24%,12%,130%,50%,50%,23.4%,"43,240",75%,25%,South,South Atlantic,Southeast
1309,GA,"Congressional District 9 (116th Congress), Georgia",2019,12.7%,"98,050",19%,15%,10%,130%,42%,58%,12.6%,"21,440",92%,8%,South,South Atlantic,Southeast
1309,GA,"Congressional District 9, Georgia",2020,10.9%,"83,080",18%,16%,8%,130%,44%,56%,10.0%,"17,030",100%,0%,South,South Atlantic,Southeast
1309,GA,"Congressional District 9, Georgia",2021,11.4%,"91,690",18%,12%,8%,130%,35%,65%,8.5%,"15,330",87%,13%,South,South Atlantic,Southeast
1309,GA,"Congressional District 9 (118th Congress), Georgia",2022,13.2%,"104,630",17%,17%,10%,130%,30%,70%,12.8%,"22,480",76%,25%,South,South Atlantic,Southeast
1309,GA,"Congressional District 9 (118th Congress), Georgia",2023,14.1%,"114,350",21%,19%,11%,130%,43%,57%,14.3%,"25,890",71%,29%,South,South Atlantic,Southeast
1310,GA,"Congressional District 10 (116th Congress), Georgia",2019,12.4%,"94,150",19%,13%,9%,130%,41%,59%,14.2%,"25,370",64%,37%,South,South Atlantic,Southeast
1310,GA,"Congressional District 10, Georgia",2020,10.7%,"80,920",19%,15%,7%,130%,47%,53%,12.4%,"21,740",76%,24%,South,South Atlantic,Southeast
1310,GA,"Congressional District 10, Georgia",2021,9.6%,"77,050",17%,12%,7%,130%,34%,66%,9.2%,"16,990",78%,23%,South,South Atlantic,Southeast
1310,GA,"Congressional District 10 (118th Congress), Georgia",2022,12.6%,"101,710",20%,18%,10%,130%,32%,68%,15.9%,"28,710",70%,30%,South,South Atlantic,Southeast
1310,GA,"Congressional District 10 (118th Congress), Georgia",2023,14.4%,"120,170",23%,19%,11%,130%,44%,56%,17.9%,"33,930",68%,32%,South,South Atlantic,Southeast
1311,GA,"Congressional District 11 (116th Congress), Georgia",2019,9.7%,"76,290",14%,14%,7%,130%,35%,65%,8.1%,"14,580",85%,15%,South,South Atlantic,Southeast
1311,GA,"Congressional District 11, Georgia",2020,8.3%,"64,510",15%,15%,6%,130%,38%,63%,6.6%,"11,990",100%,0%,South,South Atlantic,Southeast
1311,GA,"Congressional District 11, Georgia",2021,9.2%,"74,080",13%,12%,6%,130%,28%,72%,6.3%,"11,270",81%,19%,South,South Atlantic,Southeast
1311,GA,"Congressional District 11 (118th Congress), Georgia",2022,11.4%,"89,860",19%,18%,9%,130%,25%,75%,11.0%,"18,840",66%,34%,South,South Atlantic,Southeast
1311,GA,"Congressional District 11 (118th Congress), Georgia",2023,12.7%,"100,340",23%,19%,9%,130%,32%,68%,12.1%,"20,840",60%,40%,South,South Atlantic,Southeast
1312,GA,"Congressional District 12 (116th Congress), Georgia",2019,15.0%,"109,640",21%,16%,11%,130%,51%,49%,20.3%,"34,330",67%,33%,South,South Atlantic,Southeast
1312,GA,"Congressional District 12, Georgia",2020,13.8%,"100,640",22%,18%,9%,130%,53%,47%,19.8%,"33,890",75%,25%,South,South Atlantic,Southeast
1312,GA,"Congressional District 12, Georgia",2021,13.9%,"103,160",20%,14%,9%,130%,43%,58%,18.7%,"32,400",72%,29%,South,South Atlantic,Southeast
1312,GA,"Congressional District 12 (118th Congress), Georgia",2022,15.1%,"116,320",24%,20%,11%,130%,38%,62%,23.8%,"42,100",76%,25%,South,South Atlantic,Southeast
1312,GA,"Congressional District 12 (118th Congress), Georgia",2023,17.3%,"135,020",27%,22%,12%,130%,49%,51%,25.9%,"46,230",72%,28%,South,South Atlantic,Southeast
1313,GA,"Congressional District 13 (116th Congress), Georgia",2019,8.6%,"69,390",13%,14%,10%,130%,49%,51%,16.4%,"34,560",57%,43%,South,South Atlantic,Southeast
1313,GA,"Congressional District 13, Georgia",2020,8.5%,"65,680",14%,14%,8%,130%,55%,45%,18.9%,"37,710",66%,34%,South,South Atlantic,Southeast
1313,GA,"Congressional District 13, Georgia",2021,8.6%,"68,750",13%,12%,8%,130%,40%,60%,19.3%,"39,200",64%,36%,South,South Atlantic,Southeast
1313,GA,"Congressional District 13 (118th Congress), Georgia",2022,10.1%,"77,360",17%,17%,11%,130%,28%,73%,24.0%,"45,940",61%,39%,South,South Atlantic,Southeast
1313,GA,"Congressional District 13 (118th Congress), Georgia",2023,12.5%,"97,020",20%,19%,12%,130%,35%,65%,23.9%,"45,720",65%,35%,South,South Atlantic,Southeast
1314,GA,"Congressional District 14 (116th Congress), Georgia",2019,12.9%,"94,510",17%,14%,11%,130%,41%,59%,12.7%,"22,390",90%,10%,South,South Atlantic,Southeast
1314,GA,"Congressional District 14, Georgia",2020,11.6%,"84,180",16%,16%,9%,130%,45%,55%,11.4%,"20,110",100%,0%,South,South Atlantic,Southeast
1314,GA,"Congressional District 14, Georgia",2021,11.3%,"83,360",14%,13%,9%,130%,34%,66%,10.2%,"17,980",87%,13%,South,South Atlantic,Southeast
1314,GA,"Congressional District 14 (118th Congress), Georgia",2022,13.7%,"106,860",16%,18%,11%,130%,31%,69%,14.7%,"26,800",70%,30%,South,South Atlantic,Southeast
1314,GA,"Congressional District 14 (118th Congress), Georgia",2023,15.4%,"122,730",19%,19%,12%,130%,47%,54%,17.7%,"32,800",75%,26%,South,South Atlantic,Southeast
1501,HI,"Congressional District 1 (116th Congress), Hawaii",2019,10.9%,"78,330",,16%,9%,200%,43%,57%,16.1%,"23,060",41%,59%,West,Pacific,Western
1501,HI,"Congressional District 1, Hawaii",2020,9.1%,"64,160",,18%,7%,200%,52%,48%,15.0%,"21,100",54%,46%,West,Pacific,Western
1501,HI,"Congressional District 1, Hawaii",2021,11.2%,"80,070",,15%,7%,200%,41%,59%,16.1%,"22,500",44%,56%,West,Pacific,Western
1501,HI,"Congressional District 1 (118th Congress), Hawaii",2022,12.9%,"92,860",,22%,10%,200%,44%,56%,20.3%,"27,800",50%,50%,West,Pacific,Western
1501,HI,"Congressional District 1 (118th Congress), Hawaii",2023,13.6%,"98,620",,23%,11%,200%,46%,54%,19.4%,"27,670",48%,52%,West,Pacific,Western
1502,HI,"Congressional District 2 (116th Congress), Hawaii",2019,12.1%,"83,890",,18%,9%,200%,52%,48%,20.7%,"32,610",53%,47%,West,Pacific,Western
1502,HI,"Congressional District 2, Hawaii",2020,10.1%,"72,030",,19%,7%,200%,59%,41%,18.0%,"29,080",57%,43%,West,Pacific,Western
1502,HI,"Congressional District 2, Hawaii",2021,12.5%,"90,900",,17%,8%,200%,48%,52%,19.2%,"31,680",56%,44%,West,Pacific,Western
1502,HI,"Congressional District 2 (118th Congress), Hawaii",2022,13.2%,"95,420",,23%,10%,200%,47%,53%,21.0%,"33,640",56%,44%,West,Pacific,Western
1502,HI,"Congressional District 2 (118th Congress), Hawaii",2023,14.7%,"104,600",,25%,11%,200%,53%,47%,21.9%,"33,170",50%,50%,West,Pacific,Western
1601,ID,"Congressional District 1 (116th Congress), Idaho",2019,9.0%,"84,390",,16%,10%,130%,46%,55%,10.1%,"23,290",74%,26%,West,Mountain,Western
1601,ID,"Congressional District 1, Idaho",2020,8.2%,"74,940",,16%,7%,130%,49%,51%,9.8%,"22,100",82%,18%,West,Mountain,Western
1601,ID,"Congressional District 1, Idaho",2021,8.1%,"81,620",,14%,7%,130%,36%,64%,8.2%,"19,590",79%,21%,West,Mountain,Western
1601,ID,"Congressional District 1 (118th Congress), Idaho",2022,11.2%,"110,730",,20%,9%,130%,29%,71%,14.4%,"33,450",68%,33%,West,Mountain,Western
1601,ID,"Congressional District 1 (118th Congress), Idaho",2023,12.3%,"124,090",,22%,10%,130%,35%,65%,15.8%,"37,810",62%,38%,West,Mountain,Western
1602,ID,"Congressional District 2 (116th Congress), Idaho",2019,11.2%,"95,190",,16%,10%,130%,49%,51%,12.1%,"26,540",76%,24%,West,Mountain,Western
1602,ID,"Congressional District 2, Idaho",2020,9.3%,"77,950",,17%,8%,130%,54%,46%,11.3%,"24,700",88%,12%,West,Mountain,Western
1602,ID,"Congressional District 2, Idaho",2021,8.4%,"75,020",,15%,8%,130%,37%,63%,9.0%,"20,820",84%,16%,West,Mountain,Western
1602,ID,"Congressional District 2 (118th Congress), Idaho",2022,11.6%,"110,260",,21%,11%,130%,32%,68%,14.7%,"34,140",67%,33%,West,Mountain,Western
1602,ID,"Congressional District 2 (118th Congress), Idaho",2023,13.2%,"126,170",,23%,12%,130%,40%,60%,16.6%,"37,830",68%,32%,West,Mountain,Western
1701,IL,"Congressional District 1 (116th Congress), Illinois",2019,11.5%,"81,670",20%,12%,7%,165%,65%,35%,20.5%,"32,130",44%,56%,Midwest,East North Central,Midwest
1701,IL,"Congressional District 1, Illinois",2020,11.1%,"78,260",19%,13%,5%,165%,68%,32%,22.5%,"35,760",58%,42%,Midwest,East North Central,Midwest
1701,IL,"Congressional District 1, Illinois",2021,12.1%,"81,760",19%,11%,5%,165%,48%,52%,22.9%,"33,760",57%,43%,Midwest,East North Central,Midwest
1701,IL,"Congressional District 1 (118th Congress), Illinois",2022,13.6%,"99,240",25%,18%,7%,165%,44%,56%,26.6%,"43,050",62%,38%,Midwest,East North Central,Midwest
1701,IL,"Congressional District 1 (118th Congress), Illinois",2023,15.3%,"115,100",27%,20%,8%,165%,53%,47%,25.3%,"44,390",60%,40%,Midwest,East North Central,Midwest
1702,IL,"Congressional District 2 (116th Congress), Illinois",2019,11.4%,"78,390",17%,15%,9%,165%,78%,22%,24.5%,"38,240",55%,45%,Midwest,East North Central,Midwest
1702,IL,"Congressional District 2, Illinois",2020,11.7%,"80,990",17%,16%,8%,165%,77%,24%,27.5%,"45,570",65%,35%,Midwest,East North Central,Midwest
1702,IL,"Congressional District 2, Illinois",2021,11.7%,"79,520",16%,14%,8%,165%,54%,46%,25.8%,"40,970",68%,32%,Midwest,East North Central,Midwest
1702,IL,"Congressional District 2 (118th Congress), Illinois",2022,14.2%,"103,490",22%,21%,11%,165%,49%,51%,30.1%,"51,110",70%,30%,Midwest,East North Central,Midwest
1702,IL,"Congressional District 2 (118th Congress), Illinois",2023,15.5%,"111,580",24%,23%,12%,165%,61%,39%,26.7%,"46,090",79%,21%,Midwest,East North Central,Midwest
1703,IL,"Congressional District 3 (116th Congress), Illinois",2019,8.0%,"56,150",17%,12%,7%,165%,54%,46%,9.9%,"15,880",76%,25%,Midwest,East North Central,Midwest
1703,IL,"Congressional District 3, Illinois",2020,6.8%,"48,050",16%,14%,6%,165%,69%,31%,8.9%,"15,160",96%,4%,Midwest,East North Central,Midwest
1703,IL,"Congressional District 3, Illinois",2021,7.9%,"57,340",16%,11%,6%,165%,42%,58%,7.4%,"12,100",79%,21%,Midwest,East North Central,Midwest
1703,IL,"Congressional District 3 (118th Congress), Illinois",2022,13.1%,"92,560",24%,20%,9%,165%,44%,56%,14.8%,"22,320",66%,34%,Midwest,East North Central,Midwest
1703,IL,"Congressional District 3 (118th Congress), Illinois",2023,14.5%,"104,380",28%,22%,10%,165%,54%,47%,14.2%,"21,670",71%,29%,Midwest,East North Central,Midwest
1704,IL,"Congressional District 4 (116th Congress), Illinois",2019,9.0%,"60,590",18%,14%,9%,165%,93%,7%,12.0%,"18,590",100%,0%,Midwest,East North Central,Midwest
1704,IL,"Congressional District 4, Illinois",2020,8.1%,"55,100",19%,16%,7%,165%,90%,10%,13.0%,"21,290",100%,0%,Midwest,East North Central,Midwest
1704,IL,"Congressional District 4, Illinois",2021,10.4%,"66,650",21%,13%,8%,165%,51%,49%,12.4%,"17,250",70%,30%,Midwest,East North Central,Midwest
1704,IL,"Congressional District 4 (118th Congress), Illinois",2022,13.6%,"97,940",30%,20%,9%,165%,49%,52%,15.2%,"25,060",69%,31%,Midwest,East North Central,Midwest
1704,IL,"Congressional District 4 (118th Congress), Illinois",2023,14.2%,"100,410",32%,22%,10%,165%,68%,33%,13.4%,"21,000",81%,19%,Midwest,East North Central,Midwest
1705,IL,"Congressional District 5 (116th Congress), Illinois",2019,7.8%,"57,710",14%,12%,7%,165%,44%,56%,3.8%,"5,550",100%,0%,Midwest,East North Central,Midwest
1705,IL,"Congressional District 5, Illinois",2020,6.3%,"46,500",16%,13%,6%,165%,52%,48%,2.8%,"3,840",100%,0%,Midwest,East North Central,Midwest
1705,IL,"Congressional District 5, Illinois",2021,8.4%,"63,200",16%,11%,6%,165%,35%,66%,3.5%,"5,090",100%,0%,Midwest,East North Central,Midwest
1705,IL,"Congressional District 5 (118th Congress), Illinois",2022,9.9%,"72,560",22%,17%,8%,165%,32%,68%,4.7%,"6,320",78%,22%,Midwest,East North Central,Midwest
1705,IL,"Congressional District 5 (118th Congress), Illinois",2023,10.9%,"81,820",27%,18%,9%,165%,34%,66%,6.7%,"9,650",60%,40%,Midwest,East North Central,Midwest
1706,IL,"Congressional District 6 (116th Congress), Illinois",2019,5.2%,"37,150",11%,11%,5%,165%,32%,68%,2.8%,"4,540",100%,0%,Midwest,East North Central,Midwest
1706,IL,"Congressional District 6, Illinois",2020,4.2%,"30,630",12%,11%,3%,165%,44%,56%,1.1%,"1,900",100%,0%,Midwest,East North Central,Midwest
1706,IL,"Congressional District 6, Illinois",2021,6.7%,"50,620",13%,9%,4%,165%,31%,70%,3.3%,"6,030",87%,13%,Midwest,East North Central,Midwest
1706,IL,"Congressional District 6 (118th Congress), Illinois",2022,9.7%,"71,530",20%,16%,8%,165%,31%,69%,9.3%,"14,680",60%,40%,Midwest,East North Central,Midwest
1706,IL,"Congressional District 6 (118th Congress), Illinois",2023,11.0%,"79,480",23%,17%,9%,165%,38%,62%,9.5%,"14,440",56%,44%,Midwest,East North Central,Midwest
1707,IL,"Congressional District 7 (116th Congress), Illinois",2019,14.0%,"102,170",23%,14%,8%,165%,70%,30%,22.4%,"32,460",59%,41%,Midwest,East North Central,Midwest
1707,IL,"Congressional District 7, Illinois",2020,12.9%,"92,700",23%,16%,6%,165%,70%,30%,24.9%,"34,230",68%,32%,Midwest,East North Central,Midwest
1707,IL,"Congressional District 7, Illinois",2021,12.9%,"96,610",24%,14%,7%,165%,51%,49%,23.8%,"34,610",69%,31%,Midwest,East North Central,Midwest
1707,IL,"Congressional District 7 (118th Congress), Illinois",2022,14.1%,"106,980",29%,20%,9%,165%,50%,50%,27.8%,"43,670",70%,30%,Midwest,East North Central,Midwest
1707,IL,"Congressional District 7 (118th Congress), Illinois",2023,17.0%,"124,330",32%,22%,10%,165%,56%,44%,26.7%,"34,070",71%,29%,Midwest,East North Central,Midwest
1708,IL,"Congressional District 8 (116th Congress), Illinois",2019,7.3%,"52,460",16%,12%,7%,165%,58%,42%,9.4%,"16,020",88%,12%,Midwest,East North Central,Midwest
1708,IL,"Congressional District 8, Illinois",2020,5.9%,"42,080",17%,13%,5%,165%,66%,34%,8.2%,"13,650",98%,2%,Midwest,East North Central,Midwest
1708,IL,"Congressional District 8, Illinois",2021,7.3%,"50,850",16%,11%,6%,165%,41%,59%,7.3%,"11,820",78%,22%,Midwest,East North Central,Midwest
1708,IL,"Congressional District 8 (118th Congress), Illinois",2022,9.6%,"71,900",21%,16%,7%,165%,32%,68%,9.8%,"16,190",67%,33%,Midwest,East North Central,Midwest
1708,IL,"Congressional District 8 (118th Congress), Illinois",2023,10.9%,"79,970",24%,18%,8%,165%,44%,56%,11.0%,"17,590",64%,36%,Midwest,East North Central,Midwest
1709,IL,"Congressional District 9 (116th Congress), Illinois",2019,8.9%,"64,200",18%,14%,8%,165%,49%,51%,7.5%,"11,200",86%,14%,Midwest,East North Central,Midwest
1709,IL,"Congressional District 9, Illinois",2020,7.6%,"54,740",18%,15%,6%,165%,57%,43%,6.5%,"9,860",97%,3%,Midwest,East North Central,Midwest
1709,IL,"Congressional District 9, Illinois",2021,9.4%,"69,080",19%,12%,6%,165%,41%,59%,7.4%,"11,520",77%,23%,Midwest,East North Central,Midwest
1709,IL,"Congressional District 9 (118th Congress), Illinois",2022,11.9%,"87,270",26%,19%,9%,165%,37%,63%,11.8%,"16,330",62%,38%,Midwest,East North Central,Midwest
1709,IL,"Congressional District 9 (118th Congress), Illinois",2023,13.0%,"96,430",28%,20%,10%,165%,43%,57%,13.1%,"18,920",55%,45%,Midwest,East North Central,Midwest
1710,IL,"Congressional District 10 (116th Congress), Illinois",2019,7.3%,"51,500",16%,13%,6%,165%,52%,48%,8.1%,"13,440",85%,16%,Midwest,East North Central,Midwest
1710,IL,"Congressional District 10, Illinois",2020,6.2%,"43,730",17%,14%,4%,165%,60%,40%,7.2%,"11,880",97%,3%,Midwest,East North Central,Midwest
1710,IL,"Congressional District 10, Illinois",2021,8.0%,"57,790",18%,12%,5%,165%,40%,60%,7.6%,"12,860",77%,23%,Midwest,East North Central,Midwest
1710,IL,"Congressional District 10 (118th Congress), Illinois",2022,9.5%,"70,810",22%,18%,7%,165%,33%,67%,9.5%,"15,820",54%,46%,Midwest,East North Central,Midwest
1710,IL,"Congressional District 10 (118th Congress), Illinois",2023,11.0%,"82,380",25%,20%,8%,165%,41%,59%,10.0%,"17,350",58%,42%,Midwest,East North Central,Midwest
1711,IL,"Congressional District 11 (116th Congress), Illinois",2019,6.5%,"46,940",13%,12%,6%,165%,60%,40%,8.6%,"15,250",86%,14%,Midwest,East North Central,Midwest
1711,IL,"Congressional District 11, Illinois",2020,5.7%,"40,550",14%,13%,5%,165%,67%,34%,8.3%,"15,060",90%,10%,Midwest,East North Central,Midwest
1711,IL,"Congressional District 11, Illinois",2021,7.6%,"54,700",14%,11%,5%,165%,46%,54%,9.3%,"15,910",70%,30%,Midwest,East North Central,Midwest
1711,IL,"Congressional District 11 (118th Congress), Illinois",2022,9.6%,"73,780",19%,17%,7%,165%,30%,70%,9.7%,"17,200",57%,43%,Midwest,East North Central,Midwest
1711,IL,"Congressional District 11 (118th Congress), Illinois",2023,10.0%,"76,290",23%,19%,8%,165%,39%,62%,8.9%,"15,690",59%,42%,Midwest,East North Central,Midwest
1712,IL,"Congressional District 12 (116th Congress), Illinois",2019,12.5%,"85,100",22%,17%,11%,165%,59%,41%,16.8%,"24,500",64%,36%,Midwest,East North Central,Midwest
1712,IL,"Congressional District 12, Illinois",2020,10.9%,"75,190",21%,18%,8%,165%,65%,35%,15.4%,"23,530",73%,27%,Midwest,East North Central,Midwest
1712,IL,"Congressional District 12, Illinois",2021,11.3%,"75,550",20%,15%,9%,165%,50%,50%,15.4%,"22,490",65%,35%,Midwest,East North Central,Midwest
1712,IL,"Congressional District 12 (118th Congress), Illinois",2022,13.5%,"101,190",25%,22%,11%,165%,47%,53%,16.8%,"27,100",76%,24%,Midwest,East North Central,Midwest
1712,IL,"Congressional District 12 (118th Congress), Illinois",2023,14.5%,"108,920",28%,23%,12%,165%,55%,45%,18.1%,"29,000",71%,29%,Midwest,East North Central,Midwest
1713,IL,"Congressional District 13 (116th Congress), Illinois",2019,13.7%,"95,470",23%,16%,10%,165%,54%,46%,15.7%,"21,690",65%,35%,Midwest,East North Central,Midwest
1713,IL,"Congressional District 13, Illinois",2020,10.3%,"72,270",23%,18%,8%,165%,64%,36%,13.0%,"17,850",75%,25%,Midwest,East North Central,Midwest
1713,IL,"Congressional District 13, Illinois",2021,10.6%,"73,100",25%,16%,9%,165%,51%,49%,12.0%,"16,420",74%,26%,Midwest,East North Central,Midwest
1713,IL,"Congressional District 13 (118th Congress), Illinois",2022,14.4%,"106,580",28%,23%,11%,165%,50%,50%,21.6%,"31,850",70%,31%,Midwest,East North Central,Midwest
1713,IL,"Congressional District 13 (118th Congress), Illinois",2023,14.8%,"107,600",30%,26%,12%,165%,59%,41%,21.3%,"30,270",77%,23%,Midwest,East North Central,Midwest
1714,IL,"Congressional District 14 (116th Congress), Illinois",2019,5.4%,"39,140",5%,10%,5%,165%,35%,65%,4.0%,"7,300",78%,22%,Midwest,East North Central,Midwest
